id,sen1,sen2,type
0,I prefer listening to music to watching television.,I like listening to music more than watching television.,m
1,Television has too much advertising.,Television has too many adverts.,s
2,There are only a few good programmes on television that I like watching.,There aren't a lot of good programmes on television worth watching.,m
3,I haven't watched television for ages.,It's been a long time since I watched television.,s
4,"If I don't buy some new music every month, I get bored with my collection.",I get bored with my collection so I buy some new music every month.,l
5,Why don't you stay in and watch television this afternoon?,"If I were you, I would stay in and watch television this afternoon.",m
6,They have a lot of repeats on television at the moment.,There are a lot of repeats on television lately.,m
7,I’m sure that someone forgot to lock the door.,Someone must have forgotten to lock the door.,m
8,They bought this house ten years ago.,They have had owned this house for ten years.,s
9,The course finished with a big party.,"At the end of the course, there was a big party.",s
10,"We invited a pop star onto the chat show, but he didn’t turn up.",The pop star whom we invited onto the chat show didn’t turn up.,m
11,The plane had hardly left the airport when the accident happened.,No sooner had the plane left the airport than the accident happened.,m
12,You feel tired now because you didn’t sleep very well last night.,"Had you slept well last night, you wouldn’t feel tired now.",m
13,When did you start the project?,How long is it since you started the project?,s
14,Their wedding will be held in a lovely church.,The church where their wedding will be held is lovely.,m
15,My father used to play football when he was young.,My father doesn’t play football anymore.,m
16,Jane gave me a present on my last birthday.,I was given a present on my last birthday.,m
17,Let’s go swimming.,She suggests going swimming.,s
18,Would you like a cup of coffee?,He invited me to have a cup of coffee.,s
19,We got lost in the jungle because we didn’t have a map.,"If we had had a map, we wouldn’t get lost in the jungle",m
20,It is a three-hour drive from Hanoi to Namdinh.,It takes three hours to drive from Hanoi to Namdinh.,m
21,It’s a pity you didn’t tell us about this.,I wish you had told us about it.,m
22,They think the owner of the house is abroad.,The owner of the house is thought to be abroad.,m
23,The children couldn’t go swimming because the sea was very rough.,The sea was too rough for the children to go swimming.,m
24,Anne read the book then she went to see the film.,"After reading the book, Anne went to see the film.",m
25,Mike moved to Australia six months ago.,Mike has been living in Australia for six months.,s
26,"'You must park here', the police officer said to Agnes.",The police officer told Agnes she had to park there.,m
27,"If I am paid all the money I am owed, I will change my car.","Should I be paid all the money I am owed, I will change my car.",l
28,"I wouldn’t buy a new house, even if I won the lottery.","Even if I were to win the lottery, I wouldn’t buy a new house.",m
29,They are going to build a new cinema on the site of the old library.,A new cinema will be built on the site of the old library.,l
30,There isn’t enough money to pay the bill.,There is too little money to pay the bill.,m
31,"The book was very expensive, so I decided not to buy it.",The book was so expensive that I decided not to buy it.,m
32,It cannot be true that Peter is getting married.,Peter can’t be getting married.,m
33,Shall we invite Francis and Bob over for dinner this evening?,Why don’t we invite Francis and Bob over for dinner this evening?,m
34,"If you walk faster, you will get there sooner.","The faster you walk, the sooner you get there.",m
35,That’s the stupidest thing I’ve ever heard.,I’ve never heard anything so stupid.,s
36,The thief said he did not shoot the guard dog.,The thief denied having shot the guard dog.,m
37,I have never heard such a ridiculous proposal.,Never have I heard such a ridiculous proposal.,m
38,Neither Albania nor Turkey is part of the European Union.,"Albania is not part of the European Union, nor is Turkey.",m
39,I really need to do more exercise.,What I really need to do is more exercise.,s
40,The orcs are coming to attack us because you're making too much noise.,"If you didn't make so much noise, the orcs wouldn't come to attack us.",m
41,We can't walk across the hall because the dragon is awake.,"If the dragon was sleeping, we would be able to walk across the hall.",m
42,I lied to you about the treasure because you're too greedy!,I wouldn't have lied to you about the treasure if you weren't so greedy.,m
43,This mission is going to be difficult because that castle has magical protection.,This would be easier if the castle didn't have magical protection.,m
44,I have him in the group because he's an excellent swordsman.,"If he wasn't an excellent swordsman, we wouldn't have him in the group.",m
45,We do need most of the goods that we buy.,Most of the goods that we buy are needed.,m
46,The man loves to drink wine.,The guy is fond of drinking wine.,s
47,"As the campaign mounts, there have already been accusations of vote-rigging.","As the campaign mounts, allegations of voting-rigging have already been made.",m
48,"Although Putin is undoubtedly an important and influential figure, his domestic reach has its limits.","While Putin is certainly a significant and influential figure, his internal reach has its boundaries.",l
49,"Rather, regional governors and their administrations are often responsible for distributing state budgets and implementing Moscow instructions.","Instead, it often falls to regional governors and their administrations to distribute state budgets and implement orders from Moscow.",l
50,These figures were appointed based on their personal loyalty to the Kremlin.,"Based on their private allegiance to the Kremlin, these figures were assigned.",m
51,Pouring hydroxide peroxide on a cutting board made of wood will kill salmonella and other bacteria.,"Bacteria on a wooden cutting board, including salmonella, can be eradicated by pouring hydrogen peroxide on it.",l
52,Symptoms of the flu include fever and nasal congestion.,Stuffiness and elevated temperature are signs of the flu.,m
53,The tornado hit the town.,The town has damaged by the cyclone.,s
54,This brand has been preferred by most professional plumbers.,Majority of the professional plumbers choose this brand over the others.,m
55,"At a cruise, you can enjoy the natural scenery.",You would love to see natural vistas during a cruise.,m
56,"The price of a resort vacation typically includes meals, tips and equipment rentals, which makes your trip more cost-effective.",All-inclusive resort vacations can make for an economical trip.,l
57,He has tons of stuff to throw away.,He needs to get rid of a lot of junk.,m
58,The mob is besieged as much by inner infidelity as it is by the federal government.,The mobster activities are more threatened by members of his biological family than by agents of the federal government.,l
59,His closest friend and associate is an FBI informant.,One of his closest associates turns witness for the FBI.,m
